QuestionID,MCAN,ImageID
393225000,0,393225
393225001,yes,393225
393225003,soup,393225
262162003,8,262162
262162019,yes,262162
262162022,8,262162
262162024,yes,262162
262162027,desk,262162
262162029,8,262162
262175003,yes,262175
131108001,open,131108
393254000,nothing,393254
393254001,van,393254
393254002,background,393254
42000,black,42
262189000,3,262189
262189001,yellow,262189
262189002,no,262189
393266000,orange,393266
393267000,pink,393267
393267002,cold,393267
393267003,party,393267
262197003,yes,262197
262197008,3,262197
393271001,no,393271
262200002,child,262200
393274004,fence,393274
393274006,no,393274
393277005,noon,393277
393277010,noon,393277
393282008,trees,393282
393284008,jacket,393284
393288004,church,393288
524361000,bench,524361
524361001,2,524361
131152002,4,131152
262227003,red,262227
262228001,safety,262228
262228004,sidewalk,262228
262228005,bike,262228
262229005,headband,262229
131159000,car,131159
524382000,0,524382
524382002,no,524382
262242000,hand,262242
262242001,fence,262242
131171000,no,131171
262161000,2,262161
262161004,yes,262161
262161005,yes,262161
262161006,honda,262161
262161009,yes,262161
262161013,red,262161
262161016,motorcycle,262161
262161018,1,262161
262161019,harley,262161
524392001,no,524392
524392002,cooking,524392
262274000,man,262274
262274001,no,262274
262274002,no,262274
262275002,no,262275
133000,white,133
131207005,seagulls,131207
139000,standing,139
139001,0,139
143000,black,143
143001,7,143
240323000,no,240323
240323002,cucumber,240323
393372007,nose,393372
393372008,left,393372
393372014,tie,393372
393372020,smile,393372
524450006,water,524450
524450008,silver,524450
524450012,phone,524450
524459000,human,524459
436936001,bear,436936
262323000,wall,262323
262323001,color,262323
262325000,broccoli,262325
262325003,plate,262325
262334001,fedora,262334
192002,dodgers,192
393411000,no,393411
393411001,tracks,393411
196002,4,196
196003,8,196
131273000,collie,131273
131276001,2,131276
393421001,2,393421
262353000,5,262353
131282000,pepsi,131282
131282003,blue,131282
524502001,red,524502
524502002,decoration,524502
524507001,english,524507
131295002,ground,131295
131295003,no,131295
131295005,man,131295
262371002,suitcase,262371
262371004,tired,262371
262376001,12,262376
241002,bag,241
262386001,toilet paper,262386
262386004,wall,262386
262386005,yes,262386
262386011,photographer,262386
524533000,food,524533
262391000,yes,262391
524536002,no,524536
510657002,5,510657
510657003,10,510657
510657006,8,510657
262396000,couch,262396
262404002,girl,262404
131335002,no,131335
131335003,0,131335
283000,red,283
524575003,bird,524575
524577000,noon,524577
524577003,2 hours,524577
524577005,noon,524577
524577007,noon,524577
524577008,3,524577
524577009,3,524577
524577013,noon,524577
524577016,2 hours,524577
524577020,noon,524577
524577027,roman numerals,524577
294001,wine,294
294004,stove,294
294009,cooking,294
294011,utensils,294
294014,stove,294
393511001,milk,393511
262440003,2,262440
262440009,no,262440
393513004,skateboarding,393513
393513005,helmet,393513
393523004,yes,393523
524601003,4,524601
131386001,6,131386
262460000,books,262460
262460001,hat,262460
262466001,vase,262466
262466002,blue,262466
262466006,blue,262466
524611000,0,524611
524611002,no,524611
524611005,south,524611
262471002,wood,262471
262471006,stop,262471
262471008,street,262471
328001,army,328
21900001,no,21900
21900004,red,21900
393547001,chair,393547
262476001,4,262476
524621010,yes,524621
524621012,yes,524621
524621013,yes,524621
524621015,yes,524621
524621024,neither,524621
524621026,100,524621
524621028,at camera,524621
338001,noon,338
338002,cooking,338
524627002,0,524627
393557000,3,393557
131416000,bread,131416
131416003,coca cola,131416
131418001,2,131418
524637007,seat,524637
393569002,toilet,393569
524642003,books,524642
357002,yes,357
262505004,7,262505
393578002,10,393578
262509001,middle,262509
262509004,6,262509
262509008,yes,262509
393583002,usa,393583
393583004,yes,393583
524656000,counter,524656
524656001,no,524656
524656002,no,524656
568040000,yes,568040
568040001,elephant,568040
262514002,work,262514
131444001,blue,131444
43753000,shirt,43753
43753003,peace,43753
524665000,standing,524665
131453000,yes,131453
131453002,baby,131453
131453003,very,131453
262531002,skateboard,262531
262531003,red,262531
262531004,white,262531
262531007,2,262531
524681002,beach,524681
524681004,flying kite,524681
524681005,10,524681
400000,nothing,400
524702001,no,524702
415001,shorts,415
415003,kia,415
131493000,6,131493
131493003,3,131493
428000,necklace,428
428001,no,428
393647000,4,393647
393647001,0,393647
393647006,4,393647
73000,1,73
73003,,73
393659002,3,393659
131516000,yes,131516
262594002,police,262594
393674004,b,393674
262605002,nothing,262605
262609000,no,262609
262609002,sidewalk,262609
262609004,0,262609
262609008,right,262609
262609011,apple,262609
393682001,cake,393682
131539000,no,131539
472003,big,472
262617000,red,262617
262626004,white,262626
131556001,no,131556
131557001,cheese,131557
524775000,double decker,524775
524775002,50,524775
524775006,london,524775
488003,6 feet,488
502003,no,502
393720001,no,393720
262651000,0,262651
262651002,yes,262651
131581003,0,131581
262654004,3,262654
262658000,3,262658
262658001,no,262658
131597001,trees,131597
131597004,6,131597
393743000,yes,393743
262672001,yes,262672
262672002,skiing,262672
262677001,red,262677
524822001,couch,524822
524822006,no 1,524822
524822010,pillows,524822
524822013,london,524822
524822016,1,524822
536002,2,536
536005,2,536
536008,2,536
536025,silver,536
536029,1,536
131611002,yes,131611
131611005,rocks,131611
131611009,yes,131611
131611012,zoo,131611
131612001,white,131612
262686006,apples,262686
544002,100,544
544004,baseball,544
544007,yes,544
544017,no,544
131617001,yes,131617
131617002,pink,131617
327771001,no,327771
131627001,1 way,131627
524844002,park,524844
524844010,wood,524844
524844014,2,524844
524844016,park,524844
262703002,long time,262703
393777000,yes,393777
569006,no,569
445200001,food,445200
153013001,no,153013
153013002,hand,153013
139684002,vase,139684
393804002,no,393804
131661003,no,131661
590001,yes,590
393809006,2,393809
393809012,brace,393809
393809015,yes,393809
393809017,0,393809
262738001,words,262738
262738003,yes,262738
393814000,salad,393814
393814001,3,393814
524887002,yellow,524887
524887004,yamaha,524887
524889005,3,524889
524889006,shoes,524889
437010001,phone,437010
437010002,0,437010
437010004,talking,437010
393838002,4,393838
393838003,in bowl,393838
393838004,carrots,393838
623002,no,623
187695000,onions,187695
187695001,cheese,187695
187695003,onions,187695
632000,mirror,632
632012,on wall,632
636000,toilet,636
641001,2,641
393858001,,393858
393858002,6,393858
87489001,yes,87489
