QuestionID,PANOPTIC,ImageID
262148002,bench,262148
393225000,0,393225
393225001,yes,393225
393225003,soup,393225
131089003,yes,131089
131089004,no,131089
262162003,1,262162
262162016,yes,262162
262162022,2,262162
262162025,no,262162
262162027,table,262162
262162029,2,262162
393243003,brown,393243
131108001,open,131108
393254000,,393254
393254002,background,393254
42000,red,42
262189001,blue,262189
262189002,no,262189
393267000,white,393267
393267002,party,393267
393267003,party,393267
262197000,3,262197
262197002,no,262197
262197005,20,262197
262197009,nothing,262197
262200002,child,262200
393274004,building,393274
393274006,no,393274
393277000,yes,393277
393277005,noon,393277
393277008,sunny,393277
393277010,noon,393277
393282008,tree,393282
393284008,jacket,393284
393288004,building,393288
524361000,tree,524361
74002,walking,74
131152002,3,131152
262227001,0,262227
262227002,no,262227
262227003,yellow,262227
262228000,concrete,262228
262228001,safety,262228
262228004,sidewalk,262228
262228005,bike,262228
262229003,1,262229
262229005,hats,262229
524382000,unknown,524382
524382002,no,524382
262242000,hand,262242
262242001,fence,262242
262242005,yes,262242
131171000,no,131171
262161000,2,262161
262161003,kickstand,262161
262161004,motorcycle,262161
262161005,yes,262161
262161006,honda,262161
262161009,yes,262161
262161016,0,262161
262161018,0,262161
262161019,honda,262161
524392002,cooking,524392
393338000,pink,393338
262274000,man,262274
262274001,nothing,262274
262274002,nothing,262274
262275000,10,262275
262275002,no,262275
133000,white,133
133001,no,133
131207000,1,131207
131207002,yes,131207
139000,sitting,139
139001,0,139
262284001,bathroom,262284
143000,black,143
143001,7,143
143002,2,143
240323000,no,240323
240323002,apple,240323
524436004,yes,524436
524436005,no,524436
393372003,black,393372
393372004,yes,393372
393372008,left,393372
393372010,brown,393372
393372011,sweater,393372
393372013,brown,393372
393372017,no,393372
393372020,smile,393372
524450000,fire,524450
524450001,road,524450
524450006,yes,524450
524450007,yes,524450
524450008,silver,524450
524450011,no,524450
524450013,no,524450
524459000,bear,524459
262323000,fence,262323
262323001,giraffe,262323
262325000,broccoli,262325
262325003,plate,262325
262334001,fedora,262334
192002,dodgers,192
393411000,no,393411
393411001,tracks,393411
196000,cheese,196
196002,4,196
131273001,camera,131273
131276001,2,131276
393421000,living room,393421
393421001,0,393421
393421002,no,393421
393421004,yes,393421
393421005,blue,393421
262353000,6,262353
131282000,0,131282
524502001,red,524502
524507000,yes,524507
524507001,chinese,524507
131295005,train,131295
262371002,suitcase,262371
262376000,no,262376
262376001,0,262376
241002,chair,241
241004,white,241
262386001,toilet paper,262386
262386004,bathroom,262386
262386014,man,262386
262386016,no,262386
262386017,rectangle,262386
262386029,no,262386
262386038,white,262386
262386039,no,262386
262386040,towels,262386
524533000,yes,524533
