QuestionID,CASCADE+BERT,ImageID
262148002,bench,262148
393225000,0,393225
393225001,yes,393225
393225002,no,393225
393225003,spoon,393225
393226002,food,393226
240301000,fence,240301
131089002,0,131089
131089003,yes,131089
262162003,1,262162
262162016,yes,262162
262162022,2,262162
262162025,no,262162
262162027,desk,262162
262162028,twin,262162
262162029,4,262162
131108000,yes,131108
393254000,i don't know,393254
393254002,background,393254
42000,red,42
262189000,2,262189
262189001,blue,262189
262189002,1 way,262189
393267002,cold,393267
393267003,party,393267
262197000,1,262197
262197002,no,262197
393271002,7,393271
393274004,building,393274
393274006,no,393274
393277001,man,393277
393277005,noon,393277
393277008,sunny,393277
393277010,noon,393277
393282001,3,393282
393282005,zoo,393282
393282007,yes,393282
393282008,tree,393282
393284008,jacket,393284
393284015,blue,393284
393288000,store,393288
393288002,white,393288
393288004,car,393288
524361000,basket,524361
74002,walking,74
131152000,no,131152
131152002,4,131152
262227001,0,262227
262227003,red,262227
262228001,safety,262228
262228004,sidewalk,262228
262228005,snow,262228
262229003,1,262229
262229005,hats,262229
131159000,sidewalk,131159
262235001,glass,262235
524382000,collie,524382
524382002,no,524382
262242000,hand,262242
262242001,lines,262242
262242005,yes,262242
262242008,yes,262242
262161000,2,262161
262161003,road,262161
262161004,yes,262161
262161005,yes,262161
262161006,honda,262161
262161009,yes,262161
262161010,people,262161
262161011,red,262161
262161012,3,262161
262161016,police,262161
262161018,1,262161
262161019,honda,262161
524392000,white,524392
524392001,no,524392
524392002,refrigerator,524392
393338000,white and yellow,393338
262274000,woman,262274
262274001,nothing,262274
262274002,nothing,262274
262274006,yes,262274
262275002,no,262275
262275004,hat,262275
133000,white,133
131207004,black,131207
131207005,pigeons,131207
139001,0,139
262284001,bathroom,262284
143001,6,143
143002,5,143
240323002,cucumber,240323
393372003,black,393372
393372004,yes,393372
393372006,man,393372
393372008,left,393372
393372009,yes,393372
393372010,brown,393372
393372013,brown,393372
393372014,tie,393372
393372020,happy,393372
393372022,yes,393372
524450001,sidewalk,524450
524450005,red,524450
524450008,red,524450
524450017,cloudy,524450
524459000,human,524459
262323000,trees,262323
262323001,giraffe,262323
262325000,broccoli,262325
262325003,plate,262325
262334003,tile,262334
192002,baseball,192
393410006,yes,393410
196000,carrots,196
196002,6,196
196003,8,196
131273000,terrier,131273
262347002,roses,262347
131276001,2,131276
393421004,yes,393421
131280002,no,131280
262353000,6,262353
131282000,0,131282
131282001,no,131282
131282002,no,131282
131282003,red,131282
524502001,gray,524502
262360003,yellow,262360
524507001,english,524507
131295002,ground,131295
131295003,no,131295
131295005,driver,131295
262376000,no,262376
262376001,2,262376
241004,white,241
262386001,toilet paper,262386
