QuestionID,CASCADE+COUNTER,ImageID
262148002,bench,262148
393225000,0,393225
393225001,yes,393225
393225003,spoon,393225
393226002,food,393226
131089003,yes,131089
262162003,1,262162
262162007,yes,262162
262162016,yes,262162
262162022,4,262162
262162024,yes,262162
262162025,no,262162
262162027,desk,262162
262162029,4,262162
262175003,yes,262175
131108000,yes,131108
393254000,nothing,393254
393254002,background,393254
42000,red,42
262189000,2,262189
262189001,blue,262189
262189002,1 way,262189
393267000,white,393267
393267002,yes,393267
393267003,party,393267
262197002,no,262197
262200000,yes,262200
393274004,building,393274
393274005,yes,393274
393274006,no,393274
393277001,man,393277
393277003,1950,393277
393277005,2,393277
393277009,brown,393277
393277010,2,393277
393282001,3,393282
393282002,yes,393282
393282003,3,393282
393282005,zoo,393282
393282007,yes,393282
393282008,tree,393282
393282009,3,393282
393284008,jacket,393284
393284010,camo,393284
393284015,blue,393284
393288000,office,393288
393288002,white,393288
393288004,cars,393288
524361000,outside,524361
74002,standing,74
131152000,no,131152
262227000,yes,262227
262227001,0,262227
262227003,red,262227
262228001,safety,262228
262228004,sidewalk,262228
262228005,snow,262228
262229003,2,262229
262229004,men,262229
262229005,hat,262229
131159000,sidewalk,131159
262235001,glass,262235
524382000,collie,524382
524382002,no,524382
262242000,hand,262242
262242001,people,262242
262242005,yes,262242
262242008,yes,262242
262161000,2,262161
262161003,platform,262161
262161004,yes,262161
262161005,yes,262161
262161006,honda,262161
262161007,black,262161
262161008,double,262161
262161010,people,262161
262161011,red,262161
262161016,motorcycle,262161
262161018,2,262161
262161019,honda,262161
524392000,white,524392
524392001,no,524392
524392002,refrigerator,524392
393338000,purple,393338
262274000,man,262274
262274001,nothing,262274
262274002,nothing,262274
262274006,yes,262274
262275002,no,262275
262275004,hat,262275
133000,white,133
131207004,brown,131207
131207005,pigeons,131207
139000,sitting,139
262284000,2,262284
262284001,blender,262284
143001,7,143
143002,5,143
240323002,kiwi,240323
393372003,black,393372
393372004,yes,393372
393372006,man,393372
393372008,left,393372
393372010,brown,393372
393372013,brown,393372
393372014,tie,393372
393372020,happy,393372
393372022,yes,393372
524450001,road,524450
524450005,white,524450
524450013,no,524450
164000,4,164
524459000,human,524459
262323000,trees,262323
262323001,color,262323
262325000,green,262325
262325002,no,262325
262325003,plate,262325
262334001,beanie,262334
262334003,tile,262334
192002,unknown,192
393410006,yes,393410
393410008,gray,393410
393411000,no,393411
131273000,lab,131273
262347002,roses,262347
131276001,2,131276
393421004,yes,393421
393423007,3,393423
131282000,0,131282
131282001,no,131282
131282002,no,131282
131282003,red,131282
524502001,gray,524502
524502003,yes,524502
262360001,white,262360
262360003,yellow,262360
524507001,english,524507
