QuestionID,MCAN+ROBERTA,ImageID
393225000,bowl,393225
393225001,yes,393225
393225002,no,393225
393225003,spoon,393225
131089003,yes,131089
131089004,no,131089
262162000,yes,262162
262162003,8,262162
262162022,8,262162
262162024,yes,262162
262162025,no,262162
262162027,books,262162
262162028,twin,262162
262162029,8,262162
262175003,yes,262175
131108002,no,131108
393254000,fire,393254
393254001,truck,393254
393254002,background,393254
42000,black,42
131115002,2,131115
262189000,5,262189
262189001,blue,262189
262189002,no,262189
393267000,pink,393267
393267002,cold,393267
393267003,party,393267
262197003,yes,262197
262197008,3,262197
393271001,no,393271
393271002,9,393271
262200002,baby,262200
393274004,building,393274
393274006,no,393274
131131001,cat,131131
393277005,noon,393277
393277008,sunny,393277
393277010,noon,393277
393282002,yes,393282
393282005,no,393282
393284008,snowboard,393284
393288004,church,393288
524361000,bench,524361
524361001,2,524361
131152002,4,131152
262227001,no parking,262227
262227003,red,262227
262228001,yes,262228
262228003,yes,262228
262228004,sidewalk,262228
262228005,bike,262228
262229005,headband,262229
131159000,bench,131159
524382000,lab,524382
524382002,no,524382
262242000,hand,262242
262161004,yes,262161
262161005,yes,262161
262161006,honda,262161
262161009,yes,262161
262161010,surfboard,262161
262161016,motorcycle,262161
262161018,1,262161
262161019,bmw,262161
524392001,no,524392
524392002,cooking,524392
262274000,man,262274
262274001,boat,262274
262274002,boat,262274
262275002,no,262275
133000,orange,133
131207003,no,131207
131207005,seagulls,131207
139000,standing,139
262284001,bathroom,262284
143001,9,143
240323002,cucumber,240323
393372008,left,393372
393372014,tie,393372
393372020,happy,393372
393372022,yes,393372
524450001,sidewalk,524450
524450005,white,524450
524450008,silver,524450
524459000,bird,524459
436936001,yes,436936
262323000,wall,262323
262323001,color,262323
262325000,broccoli,262325
262325003,plate,262325
262334001,fedora,262334
192002,dodgers,192
393411000,no,393411
196002,6,196
196003,8,196
131273000,collie,131273
131273001,camera,131273
131276001,2,131276
393421001,2,393421
393421004,yes,393421
262353000,5,262353
131282000,pepsi,131282
131282003,blue,131282
524502001,red,524502
524502002,light,524502
262360005,yes,262360
524507001,english,524507
131295002,ground,131295
131295003,no,131295
131295005,photographer,131295
262371002,suitcase,262371
262376000,daisies,262376
262376001,12,262376
241002,bag,241
262386001,toilet paper,262386
262386003,woman,262386
262386004,no,262386
262386011,photographer,262386
262386014,woman,262386
262386017,rectangle,262386
262386032,plastic,262386
524533000,water,524533
262391000,yes,262391
524536004,obama,524536
524536006,yes,524536
510657002,5,510657
510657003,8,510657
