QuestionID,MCAN+ALBERT,ImageID
393225000,yes,393225
393225001,yes,393225
393225003,soup,393225
393226000,working,393226
393226001,2,393226
131089003,yes,131089
262162003,8,262162
262162019,yes,262162
262162022,8,262162
262162024,yes,262162
262162025,no,262162
262162027,desk,262162
262162028,twin,262162
262162029,8,262162
262175003,yes,262175
393254000,no,393254
393254001,van,393254
393254002,background,393254
262189000,3,262189
262189001,green,262189
262189002,yes,262189
393267000,pink,393267
393267002,cold,393267
393267003,party,393267
262197000,1,262197
262197003,yes,262197
393271002,9,393271
262200002,child,262200
393274004,metal,393274
393277001,man,393277
393277005,noon,393277
393277010,noon,393277
393282005,no,393282
393284008,jacket,393284
393288004,church,393288
524361000,bench,524361
524361001,2,524361
131152002,4,131152
262227003,red,262227
262228001,yes,262228
262228003,yes,262228
262228004,sidewalk,262228
262228005,bike,262228
262229005,headband,262229
131159000,seat,131159
524382002,no,524382
262242000,hand,262242
262242001,nothing,262242
131171001,1,131171
262161000,2,262161
262161004,yes,262161
262161005,yes,262161
262161006,bmw,262161
262161012,3,262161
262161016,motorcycle,262161
262161018,0,262161
262161019,harley davidson,262161
524392001,no,524392
524392002,refrigerator,524392
262274000,man,262274
262274001,nothing,262274
262274002,surf,262274
262275002,no,262275
133000,white,133
131207005,seagulls,131207
139000,standing,139
143000,black,143
143001,7,143
143002,4,143
240323000,no,240323
240323002,cucumber,240323
393372008,left,393372
393372011,t shirt,393372
393372014,tie,393372
393372020,happy,393372
393372022,yes,393372
524459000,human,524459
436936001,bear,436936
262323000,rocks,262323
262323001,color,262323
262325000,broccoli,262325
262325003,plate,262325
262334001,fedora,262334
192002,dodgers,192
196002,4,196
131273000,collie,131273
393421001,2,393421
262353000,5,262353
131282000,pepsi,131282
131282003,yellow,131282
524502001,red,524502
524502002,light,524502
524507001,english,524507
131295002,ground,131295
131295003,no,131295
131295005,person,131295
262371002,suitcase,262371
262371004,good,262371
262376001,4,262376
241002,bag,241
262386001,toilet paper,262386
262386004,no,262386
262386011,photographer,262386
262386032,plastic,262386
524533000,beer,524533
262391000,yes,262391
524536002,no,524536
510657002,4,510657
510657003,8,510657
510657006,8,510657
262396000,couch,262396
262404002,girl,262404
131335002,no,131335
131335003,0,131335
524333005,2,524333
283000,red,283
524575003,horse,524575
524577000,noon,524577
524577003,2 hours,524577
524577005,noon,524577
524577007,noon,524577
524577008,3,524577
524577009,noon,524577
524577013,noon,524577
524577016,2 hours,524577
524577020,noon,524577
524577027,roman numerals,524577
294004,food,294
294005,no,294
294009,cooking,294
294014,stove,294
262440003,2,262440
393513004,skateboarding,393513
393513005,helmet,393513
393523004,yes,393523
524601003,4,524601
131386001,6,131386
262460000,books,262460
262460001,hat,262460
131390002,cow,131390
262466001,painting,262466
262466002,wall,262466
262466006,blue,262466
524611001,brown,524611
524611002,unknown,524611
524611005,train,524611
262471002,nothing,262471
262471006,stop,262471
328001,0,328
393547001,chair,393547
262476001,5,262476
524621010,yes,524621
524621012,yes,524621
524621013,yes,524621
524621024,both,524621
524621026,100,524621
524621028,at camera,524621
338001,noon,338
338002,cooking,338
524627002,glazed,524627
393557000,3,393557
131416003,soda,131416
131418001,2,131418
524637004,tile,524637
524637007,seat,524637
393569002,cat,393569
524642003,books,524642
262505004,6,262505
262509001,middle,262509
262509004,6,262509
393583001,yes,393583
393583002,usa,393583
393583004,yes,393583
524656000,counter,524656
524656002,no,524656
568040000,yes,568040
568040001,fur,568040
262514000,yes,262514
131444001,black,131444
43753002,kitchen,43753
43753003,peace,43753
524665000,standing,524665
262531002,skateboard,262531
262531007,2,262531
524681004,beach,524681
524681005,10,524681
395002,no,395
400000,nothing,400
524702000,6,524702
524702001,no,524702
415003,man,415
131493003,3,131493
131493004,2,131493
131497001,nothing,131497
131497002,yes,131497
393647000,12,393647
393647001,0,393647
393647006,2,393647
262576002,no,262576
73000,motorcycle,73
73003,no,73
393659002,3,393659
131516000,yes,131516
262594002,harley,262594
393674000,yes,393674
393674004,b,393674
459003,no,459
262605002,frisbee,262605
262605009,man,262605
262608006,asian,262608
262609000,no,262609
262609011,nowhere,262609
262617000,red,262617
474001,white,474
262626004,white,262626
131557001,cheese,131557
131557002,flowers,131557
131557004,chicken,131557
524775000,double decker,524775
524775002,50,524775
524775005,yellow and blue,524775
524775006,unknown,524775
488003,10 feet,488
502001,yes,502
393720001,no,393720
262651000,0,262651
131581003,0,131581
262654001,yes,262654
262654004,3,262654
262658000,3,262658
262658001,no,262658
520004,9,520
393743000,yes,393743
262672001,yes,262672
262672002,skiing,262672
262677001,red,262677
262677003,1,262677
262677004,red,262677
524822001,sleeping,524822
524822008,yes,524822
524822013,london,524822
536004,wall,536
536013,no,536
536022,no,536
536025,silver,536
536026,0,536
536029,0,536
262682004,granite,262682
262682005,dishes,262682
262682013,2,262682
262682017,2,262682
131611000,rocks,131611
131611002,yes,131611
131611005,rocks,131611
131611012,zoo,131611
131611015,yes,131611
131612001,white,131612
262686000,yes,262686
544002,100,544
544004,unknown,544
544007,yes,544
544017,no,544
131617002,black,131617
327771001,no,327771
131627001,0,131627
524844002,in air,524844
524844010,wood,524844
524844014,2,524844
524844016,park,524844
262703000,snowboarding,262703
262703001,balance,262703
262703002,long time,262703
569001,green,569
569006,no,569
445200001,food,445200
153013000,no,153013
153013001,no,153013
153013002,hand,153013
393794001,cabbage,393794
139684000,white,139684
139684002,lamp,139684
393804002,no,393804
131661003,no,131661
590001,yes,590
393809003,2,393809
393809006,2,393809
393809010,2,393809
393809012,brace,393809
262738001,words,262738
262738003,yes,262738
393814000,carrots,393814
393814001,3,393814
524887002,yellow,524887
524887004,yamaha,524887
524889006,shoes,524889
262746000,many,262746
437010001,phone,437010
437010002,0,437010
437010004,talking on phone,437010
393838003,in bowl,393838
623002,no,623
187695001,cheese,187695
187695004,woman,187695
632000,mirror,632
632005,sitting,632
632010,gray,632
636000,toilet,636
641001,4,641
393858001,,393858
393858002,4,393858
87489001,yes,87489
87489002,2,87489
87489003,downtown,87489
262800002,emirates,262800
262800009,4,262800
393874001,plaid,393874
661000,bread,661
661001,0,661
661003,yes,661
693000,4,693
384101000,grass,384101
524992003,red and yellow,524992
711000,stripes,711
711001,floral,711
711004,orange,711
393928001,yes,393928
715000,0,715
715002,2,715
715003,50,715
715004,orange,715
715006,cold,715
724002,nothing,724
724003,city,724
393942000,1 way,393942
262873001,1,262873
730000,coca cola,730
730003,coca cola,730
349647000,no,349647
525021000,no,525021
525021002,no,525021
525021005,6,525021
525021007,no,525021
525024005,2,525024
525024008,5,525024
525024011,triangle,525024
262895002,yes,262895
262895007,tie,262895
262895010,no,262895
262895011,0,262895
262895016,serious,262895
262895017,30,262895
262896000,yes,262896
262896001,fork,262896
262896003,soup,262896
43816010,dodgers,43816
43816012,catcher,43816
43816026,no,43816
393971001,3,393971
757002,elephant,757
757006,no,757
757012,no,757
757017,1,757
757019,no,757
761003,yellow,761
525050000,highway,525050
525050004,stop,525050
525050009,no 1,525050
525050011,stop,525050
525050012,yes,525050
525050015,water,525050
525050021,stop,525050
393984000,hard,393984
393984002,dog,393984
393984003,nothing,393984
131841000,round,131841
525058004,yes,525058
525058011,6,525058
775001,trees,775
775002,yes,775
775007,2,775
785000,no,785
785001,background,785
785002,no,785
394002001,4,394002
394002002,honda,394002
131203000,words,131203
525077002,delta,525077
394009001,yes,394009
262940002,united,262940
525087001,park,525087
525087003,4,525087
525087004,2,525087
371506003,eating,371506
394033002,bike,394033
394033003,fruit,394033
525106002,yes,525106
131895001,wild,131895
827001,yes,827
525118001,yes,525118
525118005,0,525118
525119002,yes,525119
525119003,no,525119
836002,no,836
262985001,usa,262985
262985003,british,262985
262987000,yes,262987
262987001,cat,262987
262987002,birds,262987
131919000,purse,131919
131920002,coca cola,131920
262993000,horse,262993
262993003,horse,262993
394079002,left,394079
263011002,waiting,263011
525162001,2,525162
525170001,water,525170
885001,kia,885
885002,adidas,885
885005,yes,885
885006,chase,885
885008,blue,885
885011,polo,885
885014,kia,885
885017,chase,885
885022,jumping,885
885023,no,885
885025,polo,885
885026,polo,885
885029,polo,885
131965000,brown,131965
525183003,1,525183
131969004,building,131969
196759000,0,196759
196759002,yes,196759
196759003,yes,196759
263052002,nike,263052
394133003,3,394133
525211001,cooking,525211
525211002,donut,525211
263068001,right,263068
132001000,yes,132001
132001001,no,132001
223468000,clock,223468
394157001,no,394157
132024005,no,132024
546292000,noon,546292
482719000,4,482719
969001,nike,969
969003,yes,969
969005,ball,969
969016,boy,969
132042000,30,132042
974002,trunk,974
974003,yes,974
263120000,no,263120
985000,0,985
985005,pictures,985
985006,school,985
985008,city,985
985010,boston,985
985012,words,985
985014,yellow,985
985015,bird,985
394206004,2,394206
263136005,no,263136
525286000,new,525286
1000001,tennis racket,1000
263146000,dog,263146
525297000,left,525297
525297001,no,525297
132084000,people,132084
132084002,20,132084
263163000,no parking,263163
1029002,plane,1029
263177001,china,263177
263177002,unknown,263177
263178001,apples,263178
394251002,parking lot,394251
394251003,yes,394251
394259000,1,394259
394259003,table,394259
132116002,0,132116
525344000,green,525344
525344003,united,525344
263202000,0,263202
263202002,samsung,263202
132132000,2,132132
132132003,bananas,132132
153094001,night,153094
153094004,night,153094
153094007,night,153094
132136000,left,132136
132136001,20,132136
132136009,2,132136
132136010,butterfly,132136
525354002,no,525354
263211005,rocks,263211
263211006,fence,263211
394288001,elephant,394288
394288002,person,394288
525361000,5,525361
525361001,yes,525361
525361002,3,525361
263223008,skiing,263223
525369003,yes,525369
525369006,flowers,525369
525369008,2,525369
525369009,nothing,525369
525369010,2,525369
525369011,yes,525369
525371000,yellow,525371
525373002,pizza,525373
525376000,4,525376
1089001,black,1089
1089002,unknown,1089
