QuestionID,CASCADE,ImageID
393225000,0,393225
393225001,yes,393225
393225003,spoon,393225
131089002,0,131089
131089003,yes,131089
262162003,2,262162
262162007,yes,262162
262162015,yes,262162
262162022,2,262162
262162025,no,262162
262162027,desk,262162
262162029,4,262162
131108000,yes,131108
131108001,open,131108
131108002,no,131108
393254000,nothing,393254
393254002,background,393254
42000,blue,42
262189000,1,262189
262189001,blue,262189
262189002,yes,262189
393267000,white,393267
393267002,party,393267
262197000,3,262197
262197009,nothing,262197
262200000,yes,262200
393274004,bridge,393274
393277001,clock,393277
393277005,no,393277
393277008,sunny,393277
393277009,brown,393277
393277010,noon,393277
393282002,yes,393282
393282003,3,393282
393282007,yes,393282
393282008,tree,393282
393284008,jacket,393284
393284015,blue,393284
393288000,office,393288
393288002,white,393288
393288004,building,393288
524361000,fence,524361
74002,standing,74
131152002,4,131152
262227001,store,262227
262227002,no,262227
262227003,red,262227
262228001,safety,262228
262228004,pole,262228
262228005,bike,262228
262229003,3,262229
262229004,men,262229
262229005,hats,262229
131159000,car,131159
262235001,blinds,262235
262235004,man,262235
524382000,don't know,524382
524382002,no,524382
262242000,hand,262242
262242001,people,262242
262242003,blue,262242
262242005,yes,262242
262161000,2,262161
262161003,light,262161
262161004,motorcycle,262161
262161005,motorcycle,262161
262161006,harley,262161
262161007,black,262161
262161009,yes,262161
262161011,red,262161
262161012,3,262161
262161016,police,262161
262161018,1,262161
262161019,harley,262161
524392001,no,524392
524392002,refrigerator,524392
262262001,no,262262
393338000,white,393338
262274000,man,262274
262274001,nothing,262274
262274002,nothing,262274
262274003,2,262274
262275004,hat,262275
133000,white,133
131207002,yes,131207
131207004,brown,131207
131207005,seagulls,131207
139001,0,139
262284001,bathroom,262284
143000,black,143
143001,7,143
143002,4,143
240323000,no,240323
240323002,kiwi,240323
393372003,black,393372
393372004,yes,393372
393372006,man,393372
393372007,nose,393372
393372008,left,393372
393372010,brown,393372
393372013,brown,393372
393372014,tie,393372
393372020,happy,393372
524450005,red,524450
524450006,yes,524450
524450008,red,524450
524459000,bear,524459
262323000,tree,262323
262323001,giraffe,262323
262325000,broccoli,262325
262325003,plate,262325
262334001,fedora,262334
262334003,tile,262334
192002,baseball,192
393411000,no,393411
393411001,tracks,393411
393411002,train,393411
196002,6,196
196003,8,196
131273000,terrier,131273
262347001,yes,262347
262347002,roses,262347
131276001,2,131276
393421004,yes,393421
393423004,3,393423
131282000,0,131282
131282003,red,131282
524502001,red,524502
262360003,yellow,262360
524507001,english,524507
131295002,ground,131295
131295005,train,131295
262371002,bag,262371
262376001,6,262376
241002,couch,241
241004,white,241
262386001,toilet paper,262386
262386004,bathroom,262386
262386005,yes,262386
262386011,photographer,262386
262386016,no,262386
262386017,rectangle,262386
262386018,yes,262386
262386029,no,262386
262386038,white,262386
262386039,no,262386
262386041,yes,262386
524533000,beer,524533
262391000,yes,262391
524536000,standing,524536
524536002,no,524536
510657003,6,510657
510657004,stripes,510657
510657006,6,510657
262396001,gray,262396
257000,white,257
262404000,white,262404
262404001,adults,262404
262404002,woman,262404
393478000,red and white,393478
393478001,no,393478
393478002,no,393478
131335002,no,131335
131335003,unknown,131335
131335004,no,131335
524333005,2,524333
283000,red,283
283002,wood,283
283005,brown,283
285000,no,285
524575003,antelope,524575
524577000,noon,524577
524577003,2 hours,524577
524577005,noon,524577
524577007,no,524577
524577009,no,524577
524577013,noon,524577
524577016,2 hours,524577
524577020,noon,524577
524577027,roman numerals,524577
294003,white,294
294004,microwave,294
294006,no,294
294007,white,294
294009,eating,294
294014,stove,294
294015,1,294
393511001,water,393511
262440003,2,262440
262440004,white,262440
262440010,white,262440
262440012,4,262440
393513002,sun,393513
393513004,skateboarding,393513
393523004,yes,393523
131386000,red,131386
131386002,no,131386
262460000,clothes,262460
131390001,no,131390
262466001,vase,262466
262466002,wall,262466
262466005,white,262466
262466006,blue,262466
524611000,0,524611
524611002,0,524611
524611005,south,524611
262471002,nothing,262471
262471006,stop,262471
262471008,street,262471
328001,0,328
393547001,chair,393547
393547002,black,393547
262476001,5,262476
262476002,0,262476
524621010,yes,524621
524621013,yes,524621
524621024,neither,524621
524621026,many,524621
524621027,nothing,524621
524621028,at camera,524621
338001,noon,338
338002,cooking,338
524627002,0,524627
131416000,bun,131416
131416003,soda,131416
131418001,2,131418
546191002,2,546191
524637000,toilet,524637
524637004,tile,524637
524637007,seat,524637
524638000,no,524638
524638002,white,524638
393569001,night,393569
393569002,book,393569
524642003,books,524642
524642005,100,524642
357002,no,357
360000,no,360
262505002,no,262505
262509001,middle,262509
262509004,many,262509
262509008,yes,262509
393583001,city,393583
393583002,usa,393583
393583004,yes,393583
524656000,counter,524656
568040000,yes,568040
568040001,elephant,568040
131444000,yes,131444
43753000,rainy,43753
43753002,beach,43753
43753003,peace,43753
524665000,standing,524665
131453001,yes,131453
131453003,no,131453
262531001,taking picture,262531
262531002,skateboard,262531
262531003,black,262531
524681004,yes,524681
524681005,5,524681
524681006,green,524681
395000,black,395
395002,no,395
400000,nothing,400
524694002,yes,524694
524702000,0,524702
524702001,no,524702
415001,shorts,415
415003,kia,415
131493000,7,131493
131493003,1,131493
428001,no,428
393647000,0,393647
393647001,0,393647
393647006,2,393647
73000,5,73
73002,red,73
73003,0,73
393659001,1,393659
393659002,2,393659
262594001,red,262594
262594002,nothing,262594
524742000,white,524742
393674003,white,393674
393674004,0,393674
262605002,nothing,262605
262608006,asian,262608
262609000,no,262609
262609004,0,262609
262609007,black,262609
262609008,right,262609
262609011,nowhere,262609
472003,big,472
262617000,red,262617
474001,blue,474
393692002,no,393692
262626003,cat,262626
262626004,red,262626
131557000,yes,131557
131557001,pepperoni,131557
131557002,flowers,131557
486003,granite,486
524775000,double decker,524775
524775001,black,524775
524775002,2,524775
524775004,back,524775
524775005,red,524775
524775006,city,524775
502001,yes,502
502003,no,502
393720001,no,393720
262651000,0,262651
131581003,0,131581
262654001,yes,262654
262658000,5,262658
262658001,no,262658
262658002,no,262658
520001,yes,520
520004,7,520
131597002,yes,131597
131597005,no,131597
