QuestionID,BAN,ImageID
398489000,yes,398489
324390033,sweet,324390
439179000,yes,439179
165229002,2000,165229
473783000,4,473783
503814001,left,503814
488736011,2,488736
22479001,4,22479
570169001,2,570169
336802003,no,336802
498274003,0,498274
439630005,coffee,439630
315744002,dog,315744
512495001,white,512495
79469001,zebras,79469
282741000,suitcase,282741
187177001,head,187177
362682003,north america,362682
434897000,no,434897
407121000,typing,407121
123677000,yes,123677
508950000,8,508950
19142000,yes,19142
318171001,1,318171
493196007,no,493196
518916000,blue and yellow,518916
170250003,left,170250
499242001,american,499242
295564001,fall,295564
442040002,10,442040
404758002,bananas,404758
223362001,30,223362
521472002,cross,521472
21400010,no,21400
76518000,yes,76518
466570001,6,466570
563882001,restaurant,563882
144429000,1,144429
276024010,horses,276024
544009003,cat,544009
492469003,mountains,492469
227224008,bmw,227224
576354000,no,576354
336718010,pillows,336718
355197001,talking on phone,355197
482910001,park,482910
222295001,4,222295
263292001,1:55,263292
138185000,4,138185
406917002,can't tell,406917
437872012,playing,437872
285844000,racket,285844
206876000,water,206876
563920002,banana,563920
138196000,db,138196
120248004,1,120248
414374004,black,414374
20147003,yes,20147
108244002,no,108244
425412000,yellow,425412
556091002,many,556091
58232000,2,58232
165675002,chicken,165675
91844001,yes,91844
22257001,left,22257
226459002,monkey,226459
54598000,unknown,54598
351747000,23,351747
447770002,ponytail,447770
191546001,water,191546
178415000,breakfast,178415
378538001,yes,378538
53606002,amtrak,53606
165202005,yes,165202
409855001,no,409855
149568003,collar,149568
227901023,no,227901
525077004,england,525077
522127002,wall st,522127
406616000,yes,406616
200807001,no,200807
87038003,no,87038
453903002,restaurant,453903
454543002,baseball,454543
97131019,3,97131
468345000,ford,468345
432378004,passenger,432378
128140000,down,128140
134778007,nothing,134778
126606001,no,126606
82367011,3:55,82367
109403003,red,109403
195204002,1,195204
185901004,orange,185901
298344004,surfing,298344
484474001,unknown,484474
67180002,b,67180
293607000,nothing,293607
218494003,unknown,218494
494154000,living room,494154
10442003,dirt,10442
551167001,yes,551167
48281000,no,48281
371699001,yes,371699
244792000,on table,244792
380706008,pole,380706
309848000,hot dog,309848
565198001,remote,565198
561889003,blue,561889
34754003,yes,34754
315492002,kitchen,315492
526972002,no,526972
278401002,left,278401
134096001,no,134096
341838002,nothing,341838
364665006,cookies,364665
206907000,b,206907
573291001,1,573291
401446000,yes,401446
488476001,11,488476
227224004,1,227224
67015000,3,67015
515670004,yes,515670
493284000,4,493284
553482002,hauling,553482
285681007,ups,285681
329421002,food,329421
574350004,1,574350
345154004,right,345154
122602004,decoration,122602
286146002,cherry,286146
227741000,forward,227741
475732001,cat,475732
516601002,no,516601
291330006,both,291330
520933003,gray and white,520933
129113000,no,129113
169500003,no,169500
365018001,dog,365018
192992013,4,192992
393557000,3,393557
383594002,no,383594
273698001,cake,273698
453026009,yes,453026
293554006,hat,293554
392632010,25,392632
568529001,down,568529
573753010,1,573753
137654003,olympics,137654
248767000,green,248767
314356022,yes,314356
3693000,walking,3693
366440000,swan,366440
484474000,10:20,484474
578292002,red,578292
315072002,yes,315072
354212002,typing,354212
358750008,downtown,358750
243773003,storage,243773
266627002,suitcase,266627
519351000,outside,519351
283495000,tree,283495
244111013,yes,244111
578210005,birthday,578210
296393001,no,296393
393093006,4,393093
278365000,0,278365
277710003,0,277710
293425000,glasses,293425
555346001,boating,555346
422157006,left,422157
196594002,12,196594
346940001,4,346940
411695000,yes,411695
385236002,noon,385236
299290003,kitchen,299290
85434001,unknown,85434
292032009,breakfast,292032
560890002,frisbee,560890
340637001,book,340637
350122000,0,350122
35429002,no,35429
297736001,0,297736
217156012,traffic,217156
413709005,2,413709
44022001,yes,44022
325720015,tow,325720
85298001,yes,85298
50125000,no,50125
153524004,3,153524
49893001,blue and white,49893
393180005,wii,393180
131431006,9:20,131431
80219001,white,80219
534784000,no,534784
209221004,2,209221
476810000,close,476810
392722001,0,392722
389168002,jacket,389168
289388003,peeing,289388
498994001,no,498994
316147005,no,316147
82263001,boat,82263
273712000,2,273712
218637001,6,218637
60363005,10:55,60363
337264001,noon,337264
552532001,nothing,552532
20541002,left,20541
571584019,55,571584
439593000,unknown,439593
217783005,snow,217783
276192002,no,276192
91326003,2,91326
183528000,10:00,183528
338624002,red,338624
297812002,food,297812
16931002,stop,16931
461339001,3,461339
576650005,left,576650
391972003,potatoes,391972
132689000,2,132689
415746001,shelf,415746
257767004,white,257767
503278004,cake,503278
128920005,2,128920
259497005,phone,259497
277089010,1,277089
425933005,no parking,425933
406555009,yes,406555
259233001,no,259233
120860001,golden retriever,120860
306343000,1,306343
424668000,tools,424668
398440000,5,398440
90125004,yes,90125
494800001,0,494800
324291003,2,324291
558927003,field,558927
359020010,red,359020
260199005,london,260199
440562006,6,440562
41020000,riding,41020
124940006,yes,124940
220872005,right,220872
448810002,dog,448810
117308000,flower,117308
104568004,yes,104568
58425002,pizza,58425
484151002,no,484151
141492003,watch,141492
363831006,yankees,363831
256250002,left,256250
443167001,people,443167
544655004,yes,544655
553790001,2,553790
419344000,9,419344
392990003,tennis,392990
150361002,doubles,150361
251195004,blue,251195
188946003,red,188946
278742002,airport,278742
157593002,6,157593
17449002,nike,17449
276323001,nothing,276323
127749003,cat,127749
277971004,no,277971
188053002,very,188053
270274000,unknown,270274
449546000,12,449546
50159002,no,50159
171678017,no,171678
91374000,table,91374
55727000,red,55727
84664001,potatoes,84664
572017000,bird feeder,572017
524601003,4,524601
427077000,picture,427077
320872009,beer,320872
38666000,hand,38666
90592011,sunglasses,90592
309528001,bottle,309528
11149002,bike,11149
287970002,yes,287970
510515006,metal,510515
113722002,surfboard,113722
1525024,yes,1525
166190001,snowboarding,166190
457078003,living room,457078
318161000,urinal,318161
282940005,toy,282940
123239025,street,123239
240023006,yes,240023
356733001,3,356733
223444001,yes,223444
519088002,standing,519088
294011000,yes,294011
438850001,brown,438850
162357001,no,162357
334675001,5,334675
439827002,sign,439827
442367009,1,442367
188447005,restaurant,188447
420229001,spoon,420229
465453006,black,465453
428241001,unknown,428241
131942002,nothing,131942
53267003,3:00,53267
340934002,1,340934
169683001,no,169683
346586008,index,346586
188819001,at&t,188819
458168005,grass,458168
60010004,purple,60010
107596002,sandwiches,107596
549687005,eating,549687
107183002,4,107183
506311004,yes,506311
463785003,2,463785
507154026,0,507154
359232007,2,359232
32258002,bathroom,32258
406070007,coca cola,406070
457271004,no,457271
410301003,white,410301
568765003,left,568765
342831002,2,342831
143224000,tarmac,143224
148588001,yes,148588
560119003,hotel,560119
2255004,1,2255
135797000,no,135797
388316002,drive,388316
318671000,2,318671
467107000,0,467107
164005009,no,164005
344308002,brown,344308
227893038,2,227893
495852000,hummingbird,495852
183905004,0,183905
526341002,3,526341
272863002,silver,272863
