QuestionID,MCAN+BERT,ImageID
393225000,yes,393225
393225001,yes,393225
393225003,spoon,393225
131089003,yes,131089
262162003,9,262162
262162009,metal,262162
262162022,9,262162
262162024,yes,262162
262162027,desk,262162
262162028,twin,262162
262162029,9,262162
262175003,yes,262175
131108001,closed,131108
393254000,no,393254
393254001,truck,393254
393254002,background,393254
42000,black,42
262189000,3,262189
262189001,blue,262189
262189002,no,262189
393267002,cold,393267
393267003,party,393267
262197003,yes,262197
393271002,7,393271
262200002,child,262200
393274004,building,393274
393277005,12:00,393277
393277010,noon,393277
393282001,3,393282
393282002,yes,393282
393282003,3,393282
393282005,zoo,393282
393284008,snowsuit,393284
393288004,car,393288
524361000,fence,524361
131152002,4,131152
262227001,stop,262227
262227003,white,262227
262228001,safety,262228
262228004,sidewalk,262228
262228005,bike,262228
262229003,1,262229
262229005,headband,262229
131159000,car,131159
524382002,no,524382
262242000,hand,262242
131171000,no,131171
262161004,yes,262161
262161005,yes,262161
262161006,honda,262161
262161008,double,262161
262161009,yes,262161
262161012,3,262161
262161013,yes,262161
262161016,police,262161
262161018,1,262161
262161019,honda,262161
524392001,no,524392
524392002,refrigerator,524392
393338000,yellow and red,393338
262274000,man,262274
262274001,surf,262274
262274002,surf,262274
262275002,no,262275
133000,brown,133
131207001,3,131207
131207002,yes,131207
131207005,seagulls,131207
139000,standing,139
143001,7,143
143002,1,143
240323002,cucumber,240323
393372008,left,393372
393372011,blue,393372
393372014,tie,393372
393372020,happy,393372
524450001,sidewalk,524450
524450008,silver,524450
524459000,bird,524459
436936001,yes,436936
262323000,rocks,262323
262323001,size,262323
262325000,broccoli,262325
262325003,plate,262325
262334001,fedora,262334
192002,dodgers,192
196002,6,196
196003,8,196
131273000,collie,131273
131276001,2,131276
393421004,yes,393421
393423006,running,393423
262353000,6,262353
131282000,pepsi,131282
131282003,red,131282
524502002,light,524502
524507001,english,524507
131295003,no,131295
131295005,man,131295
262371002,suitcase,262371
262376001,12,262376
241002,bag,241
262386000,2,262386
262386001,toilet paper,262386
262386005,yes,262386
262386011,photographer,262386
262386032,plastic,262386
262386042,2,262386
524533000,beer,524533
262391000,yes,262391
262391005,1,262391
524536000,posing,524536
524536004,don't know,524536
510657002,6,510657
510657003,10,510657
510657004,camo,510657
510657006,8,510657
262404002,girl,262404
131335002,no,131335
131335003,0,131335
524333004,no,524333
524333005,2,524333
283000,red,283
524575003,giraffe,524575
524577000,daytime,524577
524577003,2 hours,524577
524577005,noon,524577
524577007,4,524577
524577008,4,524577
524577009,4,524577
524577013,4,524577
524577016,2 hours,524577
524577020,noon,524577
524577027,roman numerals,524577
294001,soup,294
294004,stove,294
294006,no,294
294009,cooking,294
294014,stove,294
294015,2,294
393511001,coffee,393511
262440003,2,262440
262440010,black,262440
393513004,skateboarding,393513
393513005,helmet,393513
393523004,yes,393523
524601003,4,524601
131386001,9,131386
262460000,books,262460
131390002,cow,131390
262466001,clock,262466
262466006,blue,262466
524611000,0,524611
524611002,luggage,524611
524611003,yes,524611
524611005,don't know,524611
262471002,nothing,262471
262471006,stop,262471
262471008,road,262471
328001,0,328
21900001,no,21900
393547001,chair,393547
262476001,4,262476
524621010,yes,524621
524621012,yes,524621
524621013,yes,524621
524621024,both,524621
524621026,many,524621
524621027,0,524621
524621028,at camera,524621
338001,noon,338
338002,cooking,338
524627002,0,524627
393557000,3,393557
131416003,coca cola,131416
131418002,yes,131418
524637001,yes,524637
524637007,lid,524637
393569001,bathroom,393569
393569002,toothbrush,393569
524642003,books,524642
524642005,100,524642
262505000,no,262505
262509001,middle,262509
262509004,6,262509
262509005,river,262509
393583001,stop sign,393583
393583002,usa,393583
393583004,yes,393583
524656000,stove,524656
524656001,no,524656
524656002,no,524656
568040000,yes,568040
568040001,fur,568040
262514000,yes,262514
131444001,blue,131444
43753000,sunny,43753
43753002,kitchen,43753
43753003,peace,43753
524665000,standing,524665
131453003,very,131453
131453004,yes,131453
262531007,3,262531
524681004,yes,524681
524681005,10,524681
395002,no,395
400000,no,400
524702000,5,524702
524702001,no,524702
415003,chase,415
131493002,fishing,131493
131493003,3,131493
131493004,2,131493
131497001,collar,131497
428000,necklace,428
428001,no,428
393647000,0,393647
393647001,0,393647
393647002,lights,393647
393647006,0,393647
73000,yes,73
73003,,73
393659002,2,393659
262594002,harley davidson,262594
131527001,no,131527
393674004,,393674
262605002,nothing,262605
262605009,man,262605
262608002,yes,262608
262608003,no,262608
262608006,asian,262608
262609000,no,262609
262609001,no,262609
262609002,sidewalk,262609
262609004,0,262609
262609008,right,262609
262609009,yes,262609
262609010,9,262609
262609011,nowhere,262609
262617000,red,262617
474001,white,474
393692000,glass,393692
262626004,white,262626
131556001,no,131556
131557001,cheese,131557
131557002,flowers,131557
524775000,double decker,524775
524775002,50,524775
524775004,back,524775
524775006,bananas,524775
393720002,yes,393720
262651000,0,262651
131581003,0,131581
262654001,yes,262654
524799002,green,524799
262658000,4,262658
262658002,no,262658
520004,6,520
393743000,pants,393743
262672001,yes,262672
262672002,skiing,262672
262677001,red,262677
262677004,red and white,262677
524822001,sleeping,524822
524822008,yes,524822
524822013,new york,524822
524822017,1,524822
536003,shirt,536
536022,no,536
536025,silver,536
536026,0,536
131611005,rocks,131611
131611009,yes,131611
131611012,zoo,131611
131611015,yes,131611
131612001,white,131612
262686000,yes,262686
544002,100,544
544004,unknown,544
544007,yes,544
544017,no,544
131617001,yes,131617
131617002,purple,131617
327771000,2,327771
327771001,no,327771
131627001,no,131627
524844002,in air,524844
524844010,wood,524844
524844014,4,524844
524844016,park,524844
262703000,skiing,262703
262703001,balance,262703
262703002,long time,262703
393777000,yes,393777
445200001,food,445200
445200004,paper,445200
153013001,no,153013
153013002,hand,153013
393794001,cabbage,393794
139684002,couch,139684
131661003,no,131661
590001,yes,590
393809003,2,393809
393809006,2,393809
393809010,2,393809
393809012,brace,393809
262738001,words,262738
393814000,soup,393814
524887002,yellow,524887
524887004,honda,524887
524889001,shoes,524889
524889006,shoes,524889
262746000,many,262746
437010001,phone,437010
437010002,0,437010
437010004,talking,437010
393838000,no,393838
393838001,yes,393838
393838002,2,393838
393838003,peas,393838
393838004,carrots,393838
623002,no,623
187695001,cheese,187695
187695003,paper,187695
187695004,woman,187695
626001,10,626
632000,mirror,632
632010,green,632
636000,toilet,636
641001,2,641
393858001,,393858
393858002,4,393858
87489001,yes,87489
87489003,downtown,87489
262800002,united,262800
661000,meat,661
131743000,yes,131743
524962000,in air,524962
524977001,no,524977
524979000,man,524979
524979001,catching,524979
524992003,red and yellow,524992
711000,stripes,711
711001,floral,711
711002,1,711
711003,no,711
711004,pink,711
715001,3,715
715003,50,715
715004,orange,715
715006,shelf,715
724002,nothing,724
724003,street,724
393942000,1 way,393942
131800002,white,131800
262873001,1,262873
262873007,skate park,262873
730000,unknown,730
730003,stop,730
131804001,3,131804
525021000,no,525021
525021002,no,525021
525021005,5,525021
525021007,no,525021
525024005,many,525024
525024011,circle,525024
262895000,yes,262895
262895007,tie,262895
262895011,serious,262895
262895016,happy,262895
262895017,30,262895
262896000,yes,262896
262896002,breakfast,262896
262896003,soup,262896
43816010,dodgers,43816
43816012,catcher,43816
43816014,no,43816
757002,elephant,757
757006,no,757
757012,no,757
757017,1,757
757019,no,757
525050000,highway,525050
525050004,main,525050
525050006,yes,525050
525050011,water,525050
525050012,0,525050
525050014,street,525050
525050015,stop,525050
525050021,water,525050
393982004,parking,393982
393984000,food,393984
393984002,cat,393984
131841000,round,131841
525058008,3,525058
525058011,6,525058
775001,trees,775
775002,yes,775
775007,2,775
785000,no,785
785001,background,785
394002001,4,394002
394002002,honda,394002
131203000,words,131203
525077002,southwest,525077
525077004,canada,525077
394009001,yes,394009
262940002,united,262940
525087001,outside,525087
525087003,4,525087
810001,club,810
371506000,yes,371506
371506003,nothing,371506
394033002,fruit,394033
525106002,yes,525106
131895001,wild,131895
827001,yes,827
827002,tree,827
525119002,yes,525119
525119003,no,525119
525119008,no,525119
262985001,usa,262985
262985003,usa,262985
262987001,cat,262987
262987002,birds,262987
131919000,no,131919
131920002,coke,131920
262993000,horse,262993
262993001,3,262993
262993003,horse,262993
524431001,people,524431
524431002,no,524431
394079002,left,394079
394079003,right,394079
131938000,door,131938
131938001,paper,131938
263011002,waiting,263011
263014001,very,263014
263014002,yes,263014
263014010,yes,263014
872004,yes,872
525170001,food,525170
885001,kia,885
885002,kia,885
885005,yes,885
885006,chase,885
885011,yes,885
885014,kia,885
885017,chase,885
885022,yes,885
885024,yes,885
885025,water,885
885026,polo,885
885029,tennis,885
885030,yes,885
131965006,beach,131965
525183003,young,525183
525183004,yes,525183
525184002,happy,525184
131969004,building,131969
196759000,0,196759
196759002,yes,196759
196759003,coca cola,196759
263052002,nike,263052
394133001,red,394133
394133003,3,394133
525208002,lights,525208
525211001,eating,525211
263068001,right,263068
132001000,yes,132001
132001001,no,132001
240455002,short,240455
394157000,black,394157
394157001,6,394157
132024001,yes,132024
546292000,1,546292
482719000,4,482719
482719001,circle,482719
969001,nike,969
969005,ball,969
969016,boy,969
132042000,30,132042
974000,both,974
974001,5,974
974003,yes,974
974004,no,974
263120000,no,263120
985000,8,985
985005,pictures,985
985006,yes,985
985008,1,985
985012,words,985
985015,dog,985
985018,don't know,985
132059000,donuts,132059
394206004,2,394206
263136001,yes,263136
132067001,no 1,132067
525286000,new,525286
1000001,tennis racket,1000
1000003,yes,1000
263146000,dog,263146
525297000,left,525297
132084000,person,132084
132084002,1,132084
263163000,nothing,263163
1029002,no,1029
263177001,china,263177
263177002,yes,263177
263178001,apples,263178
263178003,6,263178
394251002,parking lot,394251
394251003,truck,394251
394259002,soup,394259
394259003,table,394259
132116002,0,132116
