QuestionID,CASCADE,CASCADE+BERT,CASCADE+COUNTER,MCAN,MCAN+BERT,MCAN+ROBERTA,MCAN+ALBERT,PANOPTIC
262148000,down,down,down,down,down,down,down,down
262148001,watching,watching,watching,watching,watching,watching,watching,watching
262148002,skateboard,bench,bench,skateboard,skateboard,skateboard,skateboard,bench
393225000,0,0,0,0,yes,bowl,yes,0
393225001,yes,yes,yes,yes,yes,yes,yes,yes
393225002,yes,no,yes,yes,yes,no,yes,yes
393225003,spoon,spoon,spoon,soup,spoon,spoon,soup,soup
393226000,walking,walking,walking,walking,walking,walking,working,walking
393226001,1,1,1,1,1,1,2,1
393226002,ice cream,food,food,ice cream,ice cream,ice cream,ice cream,ice cream
240301000,yes,fence,yes,yes,yes,yes,yes,yes
240301001,yes,yes,yes,yes,yes,yes,yes,yes
240301002,resting,resting,resting,resting,resting,resting,resting,tired
131089000,green,green,green,green,green,green,green,green
131089001,yes,yes,yes,no,yes,yes,yes,no
131089002,0,0,1,1,1,1,1,1
131089003,yes,yes,yes,no,yes,yes,yes,yes
131089004,yes,yes,yes,yes,yes,no,yes,no
262162000,no,no,no,no,no,yes,no,no
262162001,1,1,1,1,1,1,1,1
262162002,white,white,white,white,white,white,yellow,white
262162003,2,1,1,8,9,8,8,1
262162004,no,no,no,no,no,no,no,no
262162005,1,1,2,1,1,1,2,1
262162006,no,yes,yes,no,no,yes,no,no
262162007,yes,no,yes,no,no,no,no,no
262162008,no,yes,yes,yes,yes,yes,yes,yes
262162009,leather,leather,leather,plastic,metal,plastic,plastic,leather
262162010,yes,yes,yes,yes,yes,yes,yes,yes
262162011,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom
262162012,yes,yes,yes,yes,yes,yes,yes,yes
262162013,yes,yes,yes,no,no,yes,yes,yes
262162014,yes,no,yes,no,no,no,no,no
262162015,yes,no,no,no,no,no,no,no
262162016,no,yes,yes,no,no,no,no,yes
262162017,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom,bedroom
262162018,1,1,1,1,1,1,1,1
262162019,no,no,no,yes,no,no,yes,no
262162020,yes,no,yes,no,no,no,no,no
262162021,1,1,1,1,1,1,1,1
262162022,2,2,4,8,9,8,8,2
262162023,white,white,white,white,white,white,white,white
262162024,no,no,yes,yes,yes,yes,yes,no
262162025,no,no,no,yes,yes,no,no,no
262162026,0,0,0,0,0,0,0,0
262162027,desk,desk,desk,desk,desk,books,desk,table
262162028,queen,twin,queen,queen,twin,twin,twin,queen
262162029,4,4,4,8,9,8,8,2
393243000,yes,no,yes,yes,yes,no,no,yes
393243001,donut,donut,donut,donut,donut,donut,donut,donut
393243002,no,no,no,no,no,no,no,no
393243003,blonde,blonde,blonde,blonde,blonde,blonde,blonde,brown
262175000,no,no,no,no,no,no,no,no
262175001,outside,outside,outside,outside,outside,outside,outside,forest
262175002,hat,hat,hat,hat,hat,hat,hat,hat
262175003,no,no,yes,yes,yes,yes,yes,no
131108000,yes,yes,yes,no,no,no,no,no
131108001,open,out,out,open,closed,out,out,open
